e2,t2
1,-19.8259256315
2,-24.9353098333
3,-19.1921964093
4,-19.2398732415
5,-45.2877201738
6,-22.9040959585
7,-13.3416806877
8,-11.895901462
9,-18.4670455451
10,-12.4048299282
11,-10.4970620884
12,-23.5830543951
13,-40.8082853137
14,-47.3616127379
15,-53.052214195
16,-43.9049847493
17,-44.8854117321
18,-37.9816356331
19,-38.3704199586
20,-35.4488037328
21,-40.1759954794
22,-40.7628585138
23,-22.6478455699
24,-28.8567110725
25,-16.5292614717
26,-13.2222436222
27,-20.1778321622
28,-18.573784576
29,-8.48890585873
30,-25.306097154
31,-22.7474550433
32,-28.9428632602
33,-22.8514814538
34,-23.629762728
35,-25.022090704
36,-27.9289364081
37,-21.6093796239
38,-30.5022346406
39,-31.7039675487
40,-25.9804552155
41,-13.6430686329
42,-22.3905933369
43,-21.3623648161
44,-44.5141818718
45,-44.8620066772
46,-39.4394437127
47,-39.1755554508
48,-25.0551567974
49,-161.630472858
50,-83.5198150039
51,-14.7640495379
52,-27.3053478366
53,-36.6802067073
54,-95.3937324027
55,-88.7359694963
56,-718.896326958
57,-34.7660132575
58,-797.464708758
59,-723.171923798
60,-1022.5213567
61,-965.180073151
62,-685.449273361
63,-850.466738106
64,-793.490456977
65,-709.246262195
66,-808.233719611
67,-981.062829213
68,-736.810332705
69,-727.79008326
70,-755.701425469
71,-688.077271943
72,-897.380753171
73,-755.124933533
74,-740.769617763
75,-825.333212401
76,-732.969807338
77,-767.661164099
78,-672.500694567
79,-690.231162613
80,-974.828533996
81,-947.018713108
82,-711.321298547
83,-868.789264899
84,-912.332375344
85,-707.634055044
86,-877.349476167
87,-722.260454493
88,-673.756564511
89,-17.4877363929
90,-17.5501627831
91,-10.8160074124
92,-1080.18486543
93,-809.59936423
94,-836.664542914
95,-737.784110828
96,-670.68824567
97,-890.508367125
98,-714.066058707
99,-761.375434651
100,-969.947259531
101,-692.622496128
102,-757.384439898
103,-682.453591335
104,-726.329208377
105,-700.610837011
106,-844.662698089
107,-679.389973771
108,-701.359361505
109,-46.4433583142
110,-39.8542489743
111,-45.2830303706
112,-24.2540967373
113,-84.2901489928
114,-154.906592544
115,-1487.27992731
116,-1037.6479665
117,-895.757919019
118,-693.281946292
119,-1492.38218062
120,-1608.7716582
121,-859.216736046
122,-734.671014133
123,-721.103413494
124,-681.095256243
125,-803.638846578
126,-766.365183591
127,-680.335917893
128,-827.91162672
129,-667.434337275
130,-179.824887237
131,-120.613744449
132,-27.7686702387
133,-50.7241317258
134,-187.143281274
135,-106.063314925
136,-35.0290375555
137,-43.1371302087
138,-12.8319406257
139,-83.6946650037
140,-8.05716855715
141,-15.6863845205
142,-45.6240669982
143,-51.9899088537
144,-43.3612926942
145,-37.345726328
146,-34.0877170986
147,-142.390544244
148,-14.7499846798
149,-44.227231829
150,-24.2668009989
151,-82.8823860869
152,-113.130926656
153,-23.4556164009
154,-66.9195217917
155,-551.015842628
156,-168.238773667
157,-327.776361665
158,-1258.77184462
159,-725.965657221
160,-673.094445072
161,-733.231092638
162,-694.437670938
163,-1043.09432942
164,-706.501270168
165,-816.157260124
166,-1270.22065841
167,-849.111971874
168,-676.497677202
169,-955.170134827
170,-949.04166281
171,-685.089440164
172,-902.624138123
173,-889.136795477
174,-875.698553302
175,-756.040005555
176,-912.66581128
177,-769.282231274
178,-704.683011382
179,-794.672396459
180,-692.369179607
181,-860.825416392
182,-945.90850263
183,-774.099857854
184,-672.740516895
185,-739.087973311
186,-750.997025726
187,-808.492237463
188,-742.111856059
189,-444.745069887
190,-64.3354563516
191,-50.9990964092
192,-7.44467276612
193,-33.5842773109
194,-40.8020122014
195,-36.7482647247
196,-26.884956157
197,-11.998871593
198,-12.7901621641
199,-36.7072608116
200,-15.9044201139
201,-19.6535966268
202,-30.6854948674
203,-33.5376246852
204,-19.4604335172
205,-13.302971471
206,-20.106328572
207,-13.959918842
208,-21.2649999146
209,-15.0290810465
210,-18.4269289044
211,-22.0059409924
212,-3.96089529619
213,-4.44248016904
214,-19.6183340338
215,-25.0546732539
216,-20.7556701734
217,-22.5224125832
218,-22.8572992103
219,-27.1985985998
220,-22.8019717332
221,-12.1601178467
222,-27.7481032216
223,-14.8911549348
224,-32.1647183925
225,-18.5466633239
226,-25.3196802024
227,-21.7477217563
228,-25.4685910162
229,-14.1874733535
230,-21.051041597
231,-32.1584651868
232,-15.1792502654
233,-20.6509613608
234,-20.2958511417
235,-16.0491389573
236,-18.3584704316
237,-31.168787424
238,-20.3456148073
239,-30.3529142614
240,-31.2513230164
241,-26.3382545058
242,-32.5036302565
243,-23.7981289369
244,-21.2543609494
245,-12.1822764841
246,-21.2460419841
247,-18.0937038412
248,-17.7119195943
249,-20.4182344709
250,-17.8272386492
251,-24.8765648883
252,-2461.92979938
253,-2178.21720228
254,-2318.58747869
255,-10.8108072926
256,-19.2005313787
257,-29.8799110024
258,-24.0822594143
259,-13.4071391618
260,-25.6824925561
261,-19.6451239212
262,-50.711735274
263,-32.6687236893
264,-13.4406206406
265,-704.298787567
266,-43.3865033666
267,9.42061952556
268,-218.268622599
269,-682.93489732
270,-807.936219176
271,-661.307900344
272,-971.114310637
273,-829.962370694
274,-726.586521052
275,-1007.28446049
276,-741.658159372
277,-885.9801195
278,-954.829330639
279,-715.721244485
280,-781.408401478
281,-759.18206866
282,-912.643752218
283,-848.267228429
284,-762.617722176
285,-751.25819652
286,-683.341109084
287,-728.84215372
288,-680.80965402
289,-837.237301761
290,-846.265330321
291,-948.171147883
292,-764.800024807
293,-690.146933134
294,-701.931697126
295,-879.551215728
296,-706.2047459
297,-1176.46096382
298,-683.306333875
299,-718.897540783
300,-678.474833203
301,-677.345521255
302,-810.219610706
303,-710.215599295
304,-686.5718878
305,-760.6202681
306,-696.502466163
307,-761.734871492
308,-948.783569157
309,-811.044856351
310,-892.511010912
311,-673.318052124
312,-797.990056695
313,-221.95759288
314,-111.000261859
315,-46.0970208572
316,-32.0273034597
317,-32.8508851436
318,-28.3733576565
319,-45.5195428533
320,-39.3888844351
321,-15.1510162027
322,-10.1062219353
323,-29.3049207933
324,-27.8789217337
325,-28.1291747308
326,-114.002029503
327,-36.6026286372
328,-9.27094308004
329,-10.6243525595
330,-8.71392892458
331,-8.772020058
332,-9.24010308189
333,-8.74464733927
334,-9.58876280849
335,-9.37088110104
336,-9.14192439728
337,-12.0450557282
338,-9.04564334558
339,-8.94879105213
340,-12.3570836709
341,-8.63074980071
342,-15.1511931455
343,-9.15498319611
344,-9.0825822136
345,-9.06400432836
346,-11.7832300902
347,-9.24259359754
348,-14.3917593692
349,-12.0689072144
350,-10.1070201107
351,-7.15135020414
352,-123.173360904
353,-38.8955146965
354,-59.9670427371
355,-26.5071472852
356,-26.3922351097
357,-18.0957625364
358,-12.6329041506
359,-37.538874208
360,-22.4378126082
361,-18.6531259231
362,-34.362278828
363,-15.0768604919
364,-49.2292952833
365,-41.5366398169
366,-66.4487885326
367,-252.271941503
368,-70.5062648636
369,-79.2780554689
370,-37.9070996014
371,-13.8054456404
372,-53.2715118117
373,-41.7730075903
374,-32.6062535814
375,-9.80580377212
376,-32.8300921975
377,-23.0582417514
378,-50.6108088933
379,-14.2671892048
380,-4.76043830915
381,-43.6745381857
382,-30.1281688849
383,-31.6426555589
384,-46.223641387
385,-58.9792235915
386,-25.3067160579
387,-11.8812222245
388,-14.5721453004
389,-16.3977712724
390,-6.72090919468
391,-4.68767396694
392,-11.1998462151
393,-5.96932573583
394,-15.9171063391
395,-35.3501458966
396,-78.1356160805
397,-51.9025177391
398,-56.8300957938
399,-37.1242423947
400,-40.6820442722
401,-15.1179587315
402,-21.3255366327
403,-21.8529288841
404,-15.2007490441
405,-22.1725861369
406,-22.1176428775
407,-21.6042234841
408,-16.0052548273
409,-9.97122719563
410,-8.63751271304
411,-10.0803933296
412,-10.7142787201
413,-12.0500056962
414,-9.9632954393
415,-9.70579805562
416,-8.87554831919
417,-8.75488507655
418,-8.97011054622
419,-9.83349227422
420,-8.59276693316
421,-9.81793073384
422,-9.76957198468
423,-8.44817477886
424,-8.60435600455
425,-9.57980655133
426,-8.30304539935
427,-9.4829996296
428,-9.58344825455
429,-11.9744949089
430,-10.4082265203
431,-10.3782056381
432,-11.9398556195
433,-9.36598874857
434,-8.58768296824
435,-8.58867905398
436,-8.63007188726
437,-8.46178212767
438,-8.54710258101
439,-8.09261410868
440,-8.81598383016
441,-9.67258571637
442,-8.42578794114
443,-8.8625796271
444,-9.43993720098
445,-8.45410318106
446,-9.25080981078
447,-9.73876556471
448,-9.36418047203
449,-9.97199947435
450,-9.10226592548
451,-9.38292635586
452,-3.42461462652
453,-8.52389630425
454,-11.0591998207
455,-9.92374222336
456,-9.30652322354
457,-10.0600919769
458,-9.22925065642
459,-8.80461891726
460,-9.53571404185
461,-9.59962174655
462,-10.6202759235
463,-10.8472572977
464,-8.70536012123
465,-8.84138412641
